"";"mean";"sd";"5.5%";"94.5%";"rhat";"ess_bulk"
"z_rNV_T[58]";0,602079805766;0,204491571706309;0,2832277;0,926597085;1,04578254847169;289,39596681222
"z_rNV_T[59]";-1,2627765878;0,21128127510604;-1,5972311;-0,92139844;1,04644015237214;290,6646051528
"z_rNV_T[60]";0,05545473546308;0,201964343128495;-0,26699814;0,375247295;1,04249600880334;370,630718648668
"z_rNV_T[61]";-0,29523614265448;0,202477610868231;-0,614990455;0,0306517605000001;1,04487954701767;311,487064287995
"z_rNV_T[62]";0,1862458762421;0,199558230057118;-0,135070675;0,50711491;1,04318517029079;325,062126254018
"z_rNV_T[63]";-0,8227752648;0,201453226417534;-1,14415165;-0,504527395;1,04508392167111;358,594437856789
"z_rNV_T[64]";0,702871666336;0,210708639893428;0,36729904;1,0367711;1,04862133522853;260,193636316527
"z_rNV_T[65]";-0,3205272879028;0,204704342165896;-0,6504992;0,00506064930000002;1,04029387569818;407,527145624092
"z_rNV_T[66]";-0,09428400425694;0,204588976205992;-0,418326045;0,24127348;1,04388704737425;310,340778839328
"z_rNV_T[67]";0,584789993948;0,200942861018477;0,253538015;0,899146675;1,04474080334002;321,640583134541
"z_rNV_T[68]";-2,213001708;0,209815847731945;-2,55414495;-1,8766647;1,04877060807554;350,326771503705
"z_rNV_T[69]";1,024993704;0,202694966173702;0,702666195;1,3516411;1,04334211799417;314,320310631172
"z_rNV_T[70]";0,00176909596972;0,205661626089814;-0,33069074;0,32355987;1,04585564288135;309,61363548336
"z_rNV_T[71]";0,287854653656682;0,205188832134053;-0,0438353615;0,62196227;1,03996925974228;380,739248486868
"z_rNV_T[72]";1,0544823822;0,203572913138205;0,728782275;1,378902;1,04236521034014;361,928648706781
"z_rNV_T[73]";0,341902541818;0,201935820573147;0,026270697;0,66771258;1,04597840395487;284,513630586186
"z_rNV_T[74]";-1,3847882246;0,205750612136159;-1,71033905;-1,05908635;1,04339239449314;328,24858824152
"z_rNV_T[75]";-0,641891477426;0,205880153764352;-0,97820142;-0,323304545;1,04597343904076;358,846124674917
"z_rNV_T[76]";-2,086555164;0,212045847909683;-2,4256922;-1,74513505;1,04632558831977;331,931544037916
"z_rNV_T[77]";-0,4185518583832;0,210123172673119;-0,74708222;-0,0763909599999999;1,0487076940614;260,076639285725
"z_rNV_T[78]";-0,3134973745033;0,207809681033872;-0,64688695;0,0205238715000003;1,0463525132077;281,604523558127
"z_rNV_T[79]";1,4538427124;0,204343350289296;1,11956205;1,78514485;1,03866203034221;389,883151564575
"z_rNV_T[80]";-2,153485452;0,211058745849765;-2,49029135;-1,8171412;1,05163921956264;274,725450929131
"z_rNV_T[81]";-0,0474716974829;0,202608459919816;-0,373328335;0,26966058;1,04010327527977;437,411537885301
"z_rNV_T[82]";-1,0297782918;0,209041383499542;-1,3598586;-0,69313147;1,04396612918812;285,785953545402
"z_rNV_T[83]";0,76969705778;0,205823651677837;0,4457074;1,10562715;1,03950930490797;345,457836321136
"z_rNV_T[84]";0,441342349586;0,198814134271417;0,1219435;0,75413313;1,04180419793508;347,279636653243
"z_rNV_T[85]";0,33944420437108;0,201464745951762;0,0162470955;0,65553994;1,04364176965821;359,300082465333
"z_rNV_T[86]";-1,4335115846;0,210134399464328;-1,76993165;-1,0959556;1,04490670176863;290,378204745913
"z_rNV_T[87]";0,674153658806;0,205886525051134;0,34739555;1,00221815;1,04559394739797;292,460702326115
"z_rNV_T[88]";-0,288551655304;0,204667769287536;-0,62113255;0,0339896425000001;1,04204309979818;372,28548816079
"z_rNV_T[89]";0,881369011;0,20481907544012;0,55909802;1,2115853;1,04619353695918;278,556825514164
"z_rNV_T[90]";0,43263500631508;0,205398132941255;0,106714605;0,764950055;1,03717643932689;415,016675470844
"z_rNV_T[91]";1,1817876928;0,200751372587423;0,85399407;1,49922035;1,03973832175451;458,094385918065
"z_rNV_T[92]";-0,3860270313636;0,208894244593927;-0,71400392;-0,0512339;1,05049771102883;250,984119840566
"z_rNV_T[93]";0,339158119279;0,229700140555076;-0,0248636735;0,703443915;1,03052054861878;647,210576115224
"z_rNV_T[94]";-0,359687662129;0,226203886602163;-0,722585395;-0,00168917379999998;1,02719398998888;787,295372764004
"z_rNV_T[95]";-0,74965943479;0,231051936438112;-1,1226233;-0,37925149;1,02667385865571;837,705808094558
"z_rNV_T[96]";-1,0842045888;0,25641169821802;-1,49599595;-0,67671716;1,04622149113953;355,151306846619
"z_rNV_T[97]";0,3985723422142;0,228619702939238;0,030187274;0,772753085;1,03101250914616;699,221579903243
"z_rNV_T[98]";0,9277249584;0,228778920146948;0,5601556;1,28849055;1,02714141960657;733,686746158859
"z_rNV_T[99]";-0,9268749973352;0,252770972553442;-1,33943925;-0,52820888;1,04394560822455;387,970556139767
"z_rNV_T[100]";1,047049578;0,22839763877883;0,688968005;1,4120594;1,0289838641478;736,971450704544
"z_rNV_T[101]";-0,2962983220646;0,225070790758239;-0,66342353;0,0667314215000002;1,02408915680403;866,691781802442
"z_rNV_T[102]";0,3176561426744;0,227253325133041;-0,046584454;0,678184235;1,02843771789285;767,635535677973
"z_rNV_T[103]";0,26831518807182;0,248267954853779;-0,118898135;0,65561678;1,04573404202869;415,57997180847
"z_rNV_T[104]";0,4837498410608;0,249841778119063;0,080738334;0,880133975;1,04837390916555;353,673326683879
"z_rNV_T[105]";2,341406854;0,227722992138678;1,9713634;2,702731;1,02557512879258;824,105454984131
"z_rNV_T[106]";-0,0857644396362;0,225232774465699;-0,44671318;0,27086556;1,02741049355371;689,056958210257
"z_rNV_T[107]";0,0305080702428;0,254745659594775;-0,37879332;0,42393817;1,04469800703603;459,678547501514
"z_rNV_T[108]";-0,13942541612858;0,228483397226615;-0,51232665;0,21835687;1,02559868748247;773,968770172238
"z_rNV_T[109]";-1,055521413;0,228975831446955;-1,4284264;-0,69184045;1,02213469499504;908,021171325011
"z_rNV_T[110]";-1,3892517752;0,233337102687701;-1,758272;-1,00989735;1,02966614421647;693,778733419592
"z_rNV_T[111]";0,587948154754;0,25360605996935;0,185444275;0,99775112;1,04690124853317;378,256372964671
"z_rNV_T[112]";0,79327631888;0,250965476360447;0,394526605;1,1925211;1,04809275549933;364,463064041017
"z_rNV_T[113]";0,20739700931098;0,222834350998239;-0,15464257;0,56204408;1,02725849998766;785,244233868379
"z_rNV_T[114]";0,0382588788532;0,255814594942214;-0,367939015;0,44572274;1,04792477977601;349,303301103801
"z_rNV_T[115]";0,3149061372202;0,23170686479522;-0,0608717225;0,68187639;1,02633376014308;767,79312195003
"z_rNV_T[116]";-0,5181779931886;0,223667488143034;-0,87567498;-0,162675565;1,02672377981812;794,824610417543
"z_rNV_T[117]";-0,230880762221262;0,245212930917834;-0,62228143;0,161454505;1,04356591356046;411,83108455475
"z_rNV_T[118]";1,5192867936;0,253484913850494;1,1197991;1,9189953;1,04589703615674;368,194180240975
"z_rNV_T[119]";0,3321996328494;0,253617219289848;-0,0737045705;0,73589242;1,04685485432337;343,397437325898
